corrected,sentence
 الحج  جاء شهر الحج ومع مجيئه كان هناك شعور بالسعادة  فطلاب الجامعة الجدد بادروا بتسجيل أسمائهم في إدارة المنح ليحجوا على تكلفة الجامعة  وبعد ترشيح الأسماء  طلع اسمي بفضل الله  تعالى  ونعمته علي  فجهزنا أمتعتنا للذهاب إلى مكة المكرمة  وفي اليوم السابع من ذي الحجة  ركبنا حافلتين وقصدنا إلى مكة المكرمة لأداء أكبر فرض من فرائض الإسلام  سرنا في الطريق أكثر من ست عشرة ساعة  وقبل وصولنا إلى مكة  نزلنا في الطائف  تغدينا وأحرمنا  ثم استمررنا في الطريق  وعند الميقات  نوينا حج تمتع وإفراد  وقمنا بالتلبية حتى وصلنا إلى منى  استرحنا وتعشينا  ثم ذهبنا إلى الحرم لطواف القدوم إلى العمرة  وبعد يوم التروية  في اليوم التاسع  قصدنا إلى عرفة  فانشغلنا بالذكر والدعاء إلى غروب الشمس  ثم بعد غروب الشمس  ذهبنا إلى مزدلفة للمبيت  وبعد الفجر  يوم النحر  رجعنا إلى منى ورمينا سبع حصيات في الجمرات الكبرى  العقبة  وبعد ذلك ذبحت شاة  وحلقت الرأس وتحللت  وأمضينا يومين في منى من أيام التشريق  كل يوم كنا نرمي  حصاة في الجمرات الثلاث الصغرى والوسطى  ثم الكبرى بسبع حصيات في كل جمرة  بعد زوال الشمس  أمضينا في منى أجمل وقت  واشتركنا في برامج ثقافية  وأخذنا بعض الجوائز  وفي اليوم الثاني  بعد رمي الجمار  خرجنا من منى وقصدنا الحرم لطواف الوداع  أديناه  وركبنا الحافلة قاصدين إلى الرياض  شاكرين  لله سبحانه وتعالى  على أداء مناسك الحج  وأكبر فرض من فرائض الإسلام , الحج جاء شهر الحج مع مجيئة شعورها السعيدة  فطلاب الجامعة الجدد بادروا في تسجيل أسماءهم في إدارة المنح ليحجوا علي تكلفة الجامعة  و بعد ترشيح الأسماء طلع اسمي بفضل الله تعالى و نعمته علي  و جهزنا أمتعتنا لذهاب إلى مكة المكرمة و في يوم سابع من ذي الحجة ركبنا حافلتين و قصدنا إلى مكة المكرمة لإداء أكبر فرض من فرائض الإسلام  سرنا في الطريق أكثر من ست عشرة ساعة وقبل وصولنا إلى مكة نزلنا في الطائف  تغدينا و أحرمنا ثم استمررنا في الطريق  و عند الميقات نوينا من حجا تمتعا و من إفرادا و بتلبية وصلنا منى    استرحنا و تعشينا ثم ذهبنا إلى الحرم من لطواف القدوم من لعمرة  وبعد يوم التروية يوم تاسع قصدنا إلى عرفة فانشغلنا بالذكر و الدعاء إلى غروب الشمس    ثم بعد غروب الشمس ذهبنا إلى مزدلفة للمبيت  و بعد الفجر يوم النحر رجعنا إلى منى و رمينا سبع حصيات في الجمرات الكبرى العقبة  و بعد ذلك ذبحت شاة حلقت الرأس و تحللت  و أمضينا يومين في منى من أيام التشريق كل يوم كنا نرمي حصة في الجمرات الثلاث الصغرى و الوسطى ثم الكبرى بسبع حصيات في كل جمرة بعد زوال الشمس  أمضينا في منى أجمل وقت و اشتركنا في برامج ثقافية أخذنا بعض الجوائز  و في اليوم الثاني بعد رمي الجمار خرجنا من منى و قصدنا إلى الحرم لطواف الوداع أديناه و ركبنا حافلة قاصدين إلى الرياض شاكرين لله سبحانه و تعالى لإداء مناسك الحج و أكبر فرض من فرائض الإسلام 
 تخصصي وهدفي  بودي أن ألتحق بكلية الشريعة  لأني أريد أن أتفقه في الدين  وفي كلية الشريعة مواد تشمل على التوحيد  والأحكام  وعلوم القرآن  والحديث  والقواعد اللغوية  وأصول الفقه  وقس على ذلك من العلوم الإسلامية  وعرفني بعض أصدقائي المتخصصين في الشريعة بالمناهج الدراسية في هذه الكلية  فأرى أن كلية الشريعة أكثر فائدة من كليات أخرى  وبالإضافة إلى ذلك كثير من معلمينا بمعهد تعليم اللغة العربية نصحونا أن نتخصص في كلية الشريعة  فلهذا أختار كلية الشريعة لتحقيق هدفي وهو أن أتفقه في الدين  وقد قال رسول الله  صلى الله عليه وسلم    من يرد الله به خيرا يفقهه في الدين   وبعد أن أنتهي من دراستي في كلية الشريعة  أريد أن أكون داعيا في بلدي لأفيد بني جلدتي وأرفع الجهل عنهم  وأريد أيضا أن أنشئ المدارس الإسلامية ومدارس تحفيظ القرآن الكريم في بلدي  لكي يتربى أبناء المسلمين في بيئة إسلامية  ويتلقى المسنون والمسنات العلوم الإسلامية  وهكذا ينتشر الإسلام في بلدي بسرعة بإذن الله  سبحانه وتعالى  , تخصصي و هدفي بودي أن ألتحق بكلية الشريعة  لأني أريد أن أتفقه في الدين  و في كلية الشريعة مواد تشمل على التوحيد و الأحكام و علوم القرآن و الحديث و القواعد اللغوية و أصول الفقه و قس على ذلك من العلوم الإسلامية  و عرفني بعض أصدقائي المتخصصين في الشريعة بالمناهج الدراسية في هذه الكلية  فأرى أن كلية الشريعة أكثر فائدة من كليات أخرى  و بالإضافة إلى ذلك  كثير من معلمينا بمعهد تعليم اللغة العربية نصحونا أن نتخصص في كلية الشريعة  فلهذا أختار كلية الشريعة لتحقيق هدفي و هو أن أتفقه في الدين  و قد قال رسول الله  صلى الله عليه و سلم     من يرد الله فيه خيرا  يفقهه في الدين    و بعد أن أنتهي من دراستي في كلية الشريعة  أريد أن أكون داعيا في بلدي  لأفيد بني جلدتي و أرفع الجهل عنهم  و أريد أيضا أن أنشئ المدارس الإسلامية و مدارس تحفيظ القرآن الكريم في بلدي  لكي يتربى أبناء المسلمين في البيئة الإسلامية  و يتلقى المسنون و المسنات العلوم الإسلامية  و هكذا ينتشر الإسلام في بلدي بسرعة بإذن الله  سبحانه و تعالى  
  بين الشريعة وأصول الدين   الحمد لله  مازلت في معهد تعليم اللغة العربية  في قسم الإعداد اللغوي  وسوف تنتهي الدراسة بنهاية هذا الفصل بمشيئة الله  سبحانه   لأنني الحين في مجال أتمم فيه الدراسة في فصل الدبلوم الثاني   قمة الدراسة في معهد التعليم اللغة العربية   أشكر جميع الأساتذة الذين سهروا  وتعبوا  وأرشدوا  وتبرعوا علينا بعلمهم  أسأل الله أن يرضينا وإياكم  حينما أتكلم عن أي تخصص أرغب فيه  دائما أفكر سواء أريد كلية الشريعة أو أصول الدين  أقول لك حقا أنني أرغب فيهما  وكلاهما مهمين جدا  أبدأ أسأل الناس والطلاب الآخرين عن نفس هذا السؤال  فأعجب من نفسي  لأني قد وجدت الإجابة متنوعة من الذين أجابوا  كلهم أجابوا عن الشيء الذين هم يميلون إليه  بعضهم قال الشريعة هي الأحسن  والبعض قال أن أصول الدين هي الأفضل  الآن  تختلط الأفكار في جوف رأسي  ثم أبدأ وأسأل عن نفسي  ماذا بي  قد تعبت نفسي  وصار الأمر أصعب مما كان  يا إلهي  أسألك أن ترشدني  بعد شهور مرت بي  تأكدت أنني سأختار أصول الدين  هذا هو ,  بين الشريعة وأصوالدين  الحمد لله  مازلت في معهد التعليم اللغة العربية قسم الإعداد اللغوي  سوف ينتهي الدراسة بنهاية الصل هذه بمشئة الله سبحانه لأنني الحين في مجال يتم الدراسة في الفصل الدبلوم الثاني  قمة الدراسة في معهد التعليم اللغة العربية   أشكركم جميعا الأساتذة الذين سعدوا وتعبوا ورشدوا وتبرعوا عليا بعلمهم  أسأل الله أن يرضينا ولكم    حينما تتكلم على أي التخصص الذي ترغب فيه دائما أفكر سواء أريد كلية الشريعة أو أصول الدين  أقول لك حقا أنهما يرغباني وكلاهما مهمان جدا  أبدأ أسأل الناس والطلأب الأخرين على نفس السؤال هذا  فأعجب نفسي لأن قد وجدت الإجابة متنوعة منهم الذين أجبوا  كلهم أجبوا على شيء التي لهم يميلون فيها  بعضهم قال الشريعة أحسا وبعض قال أن أصول الدين هو أفضل    الآن يختلطون الأفكارفي جوف رأسي  ثم أبدأ أسأل عن نفسي  ماذا بي  قد تعبت نفسي  صار الأمر أصعب مما كان  يا إلهي  أسألك أن يرشدني  بعد شهور مررت به  أتأكد أنني سأختار أصول الدين  هذا هو
 حول تخصصي  الحمد لله رب العالمين  ثم الصلاة والسلام على أشرف المرسلين وإمام الأنبياء محمد بن عبد الله  وآله وصحبه إلى يوم لا ينفع مال ولا بنون  وبعد  إنني اخترت هذا الموضوع  حول تخصصي  لأعبر وأبين ما في نفسي لهذا التخصص تبعا  اخترت هذا التخصص الذي هو الشريعة  كلية الشريعة   لأنني أحبها  أريد أن أكون عالما  متقنا  عارفا بديني الذي هو الإسلام  عالما بكتاب الله الذي هو القرآن وبسنة نبيه محمد  صلى الله عليه وسلم   ولأميز بين الخبيث والباطل  وأكون حافظا لديني  فهذا واجب على كل مسلم  المسلم إذا عرف دينه لا يقع في شيء يؤذيه في الدنيا والآخرة  كما قال تعالى آمرا لرسوله في حديث قدسي   اعرفوني قبل أن تعبدوني فإن لم تعرفوني فكيف تعبدوني   فلهذا أنا سوف أختار هذا التخصص حتى أحصل على الحقيقة  وأبين بين الحق والباطل قبل أن أرجع إلى بلدي لأبينه للناس كما يفعل الشيوخ الموجودون  لأن في بلدي يوجد من تخصص في مثل هذا التخصص منهم د سليمان ينغدوا تخرج من الجامعة الإسلامية ومثله من المتخصصين في الشريعة  وأتمنى أن أكون مثلهم وأورثهم في المستقبل  إن شاء الله تعالى   أنا عندي أب يؤم الناس في القرية  لما كنت صغيرا كان يحثني على هذا التخصص  وكان يحدثني عنه  وما فيه من الفوائد في الدنيا والآخرة  فنحن الأخوة الموجودون في هذه الدنيا علينا أن نعرف سبب وجودنا في هذه الدنيا قبل أن نلهث على الدنيا وما فيها من المتعة  ونحن أيضا مهما طال الزمن سنرجع إلى خالقنا في يوم ما  وعلينا أيها الأخوة الكرام أن نجهز الأشياء  كما قيل   جدد السفينة فإن البحر عميق   وتخصصي هذا مفيد في مجال الدين  ونحن نحتاج إلى مثل هذه الأشياء في بلدنا غرب إفريقيا خاصة غينيا  نسبة المسلمين فيها أكبر وأكثر  ولكن لا يطبقون الدين  نسأل الله الفهم  والتوفيق  والثبات على الدين  والحمد لله رب العالمين , حول تخصصي الحمد لله رب العالمين ثم الصلاة والسلام على أشرف المرسلين وإمام الأنبياء محمد بن عبد الله وآله وصحبه إلى يوم لا ينفع مالا ولا بنون  وبعد  إنني خترت هذا الموضوع  حول تخصصي  لأعبر وأبين ما في نفسي لهذا التخصص تبعا  اخترت هذا التخصص التي هي الشريعة  كلية الشريعة  لأنني أحبها أريد أن أكون عالما متقنا عارفا بديني الذي هو الإسلام عالما بكتاب الله الذي هو القرآن وبسنة نبيه محمد صلى الله عليه وسلم  ولأميز بين الخبيث والباطل وأكون حافظا لديني فهذا واجب لكل مسلم  المسلم إذا عرف دينه لا يقع في شيء يؤديه في الدنيا والآخرة كما قال تعالى أمرا لرسوله في حديث قدسي   اعرفوني قبل أن تعبدوني فإن لم تعرفوني فكيف تعبدوني     فلهذا أنا سوف أختر هذا التخصص حتى أحصل على الحقيقة وأبين بين الحق والباطل قبل أن أرجع إلى بلدي لأبينه للناس    كما يفعلون الشيوخ الموجودين لأن في بلدي الذين تخصصو مثل هذا التخصص منهم د  سليمان ينغدوا تخرج من جامعة الإسلامية ومثله من المتخصصين في الشريعة وأتمنى أن أكون مثلهم وأورثهم في المستقبل إن شاء الله تعالى أنا عندي أب هو يؤم الناس في القرية لما كنت صغيرا كان يحثني على هذا التخصص  وكان يحدثني عنه وما فيه من الفوائد في الدنيا والآخرة  فنحن الأخوة موجودين في هذه الدنيا علينا أن نعرف سبب وجودنا في هذه الدنيا قبل أن نلهث عن الدنيا وما فيها من المتعة  ونحن أيضا مهما طال زمن سنرجع إلى خالقنا في يوم ما وعلينا الأخوة الكرام  أن يجهز الأشياء كما قيل   جدد السفينة فإن البحر عميق  وتخصصي هذا مفيد في مجال الدين  ونحن نحتاج إلى مثل هذا الأشياء بلدنا غرب افريقيا خاصة غينيا نسبة المسلمين فيها أكبر وأكثر ولكن لا يطبقون الدين نسأل الله الفهم والتوفيق والاثبات في الدين  والحمد لله رب العالمين 
 رحلة للعمرة  ذهبت للعمرة إلى مكة في العطلة الصيفية الماضية  الحمد لله قضيت  أيام في مكة وشعرت بالسرور والسعادة مع أسرتي وأصدقائي  سافرت من الرياض بالحافلة  السفر تقريبا  ساعة إلى مكة بالحافلة  وصلنا إلى مكة في الصباح لصلاة الفجر  نحن ذهبنا إلى غرفتنا أولا وبعد ذلك ذهبنا إلى الحرم مباشرة للعمرة بعد صلاة الفجر  نحن طفنا سبعة أشواط حول الكعبة وبدأنا كل شوط من أمام الحجر الأسود  وبعد ذلك صلينا الصلاة عند مقام إبراهيم  ثم سعينا سبعة أشواط بين الصفا والمروة  وبعد السعي الحلق والتقصير  نحن ذهبنا في العطلة الصيفية  وفي هذا الوقت يكون الجو حارا جدا وهذا صعب علينا  والفنادق بعيدة عن الحرم  والطعام ليس لذيذا  الحمد على كل حالة  الأجر من الله عظيم لذلك أنا أحب رحلتي إلى مكة للعمرة , الرحلة عمرة ذهبت للعمرة إلى مكة في العطلة الصيفية الماضية  الحمد لله  قضيت  أيام في مكة وشعرت بالسرور والسعادة مع أسرتي وأصدقائي  سافرت من الرياض في الحافلة  السفر تقريبا  ساعة إلى مكة في الحافلة  وصلنا إلى مكة في الصباحا للصلاة الفجر  نحن ذهبنا إلى فرفتنا أولا وبعد ذلك ذهبنا إلى الحرم مباشرة للعمرة بعد الصلاة الفجر  نحن نطوف سبعة أشواط الكعبة وبدأنا كل شوط من أمام الحجر الأسود  وبعد ذلك صلينا الصلاة عند المقام إبراهيم ثم السعي سبعة أشواط بين الصفا والمروة  وبعد السعي الحلق والتقصير    نحن ذهبنا في العطلة الصيفية وفي هذا الوقت الجو حار جدا وهذا صعب لنا وفنادق بعيد من الهرم وطعام ليس لذيذ  الحمد على كل حلة  الأجر من الله عظيم لذلك أنا أحب رحلتي إلى مكة للعمرة 
   كانت هذه الرحلة من الرياض إلى مكة للعمرة  لما وصلت إلى مكة رأيت شيئا عجيبا هناك  وكثير من الناس لغتهم مختلفة  وكلهم يلبسون ملابس الإحرام ولونها بيضاء  ثم بعد ذلك دخلت إلى المسجد الحرام لأطوف سبعة أشواط للعمرة  وبعدها ذهبت للسعي سبعة أشواط كذلك  ثم بعد ذلك شربت ماء زمزم وخرجت من المسجد لأقصر شعري  وهكذا انتهيت من عمل العمرة ثم بعد ذلك عدت إلى الرياض  هذه هي الرحلة  تعلمت آدب السفر بين الناس في الحافلة  فيها شخص يجلس على جنبه الأيسر يتحدث  وهذ شخص كبير في السن يقول لي  يا ولدي ستذهب إلى مكة  فقلت له  نعم  وسألني  أنت سوداني  فقلت له  لا أنا من أفريقيا الوسطى  ثم بعد ذلك قال  ماذا تفعل في السعودية  فقلت له  أنا طالب  فقال  ما شاء الله  اجتهد في دروسك فإن العلم لا يتوقف وعلمني هذا الحديث في الحافلة  يقول  قال رسول الله صلى الله عليه وسلم  طلب العلم فريضة على كل مسلم ومسلمة  وقال لي أيضا   اطلب العلم من المهد إلى اللحد  تعلمت هذا الحديث في الحافلة أثناء رحلة مكة ,   كانت هذه الرحلة من الرياض إلى مكة للعمرة لما وصلت في مكة فرأيت شيئا عجيبا هناك وكثير من الناس لغتهم مختلفة وكلهم يلبثون ملابس الإحرام لونها بيضاء ثم بعد ذلك دخلت في المسجد الحرام فأطوف سبعة أشواط للعمرة وبعد فأذهب إلى السعي سبعة أشواط كذلك ثم بعد ذلك فشربة ماء زمزما فخرجت من المسجد فأقصر شعري وهكذا انتهيت عمل العمرة ثم بعد ذلك عوت إلى الرياض هذه هي الرحلة    علمت آدب السفر بين الناس في الحافلة فيه شخصا يجلس على جنبه اليسرى نتحدث وهذ شخص عنده كبير من السن يقول لي يا ولدي ستذهب إلى مكة فقلت له نعم ويسألني أنت سوداني فقلت له لا أنا من أفريقيا الوسطى ثم بعدا ذلك ويقول ذا تفعل في السعودية فقلت له أنا طالب ويقول ما شاء الله اجتهد في دروسك فأن العلم لم يتوقف ويعلمني هذا الحديث في الحافلة  يقول  قال رسول الله صلى الله عليه وسلم  طلب العلم فريضة على كل مسلم ومسلمة وقال لي أيضا  أطلب العلم من المهدي إلى اللهدي  علمت هذ الحديث في الحافلة إلى رحلة مكة 
 رحلة إلى الجزائر  ولدت في فرنسا وعشت في هذا البلد كل حياتي وديني كان دين النصارى  ثم أسلمت في سن  ودخلت في الإسلام  وبعد سنة سافرت إلى الجزائر مدة شهر  سافرت مع زوجي الذي كان من الجزائر إلى بيت أهله  أعجبتني كثيرا هذه الرحلة  أعجبني كثيرا استقبال العرب  فكانوا يقدمون لي كل شيء حتى أشعر بالفرح مع أنهم كانوا فقراء  كانوا يصنعون طعاما لذيذا وكنت آكل ثم يأكلون ما بقي دون أن أعرف ذلك  وأعطونا غرفة وكانوا ينامون هم في غرفة واحدة كلهم   الأبناء  الآباء  , رحلة إلى الجزائر ولدت في فرنسا وعشت في هذا البلد كل حياتي وديني كان دين النصارى  ثم أسلمت في السن  إلى الاسلام وبعد سنة سافرت إلى الجزائر في مدة شهر  سافرت مع زوجي الذي كان من الجزائر في بيت آبائه    أعجبني كثير هذه الرحلة  أعجبني كثيرا استقبال العرب  فكانوا يقدمون لي كل شيء حتى اشعر بالفرح مع أنهم كانوا فقراء  كانوا يصنعون طعامأ لذيذاو كنت آكل ثم يأكلون ما بقي دون أن أعرف ذلك  وأعطونا غرفة وكانوا ينامون هم غرفة واحدة كلهم   الابناء  الآباء  
 رحلات في مصر  كنت أعيش في مصر وجمعتنا كثير من الرحلات أنا وزوجي  سافرنا بالجو  أو بقطار  أو بسيارة  مصر تشتهر بنهر النيل والأهرامات  سافرنا إلى أسوان  هذه مدينة مشهورة بمعابدها ويزورها كثير من السياح  وتشتهر بمعابدها الدينية  الليسية  وعنيبة  أبو سمبل أيضا , رحلات في مصر كنت أعيش في مصر وجمعنا كثير من الرحلات انا وزوجي سفرنا بالجو أو بقطار أو بسيارة مصر تشتهر بنهر النيل والأهرامات سفرنا إلى اسوان  هذه مدينة مشهورة بمعابدها ويزرها كثير من السياحون وتشتهر معابدها المدبنه لوكس والمحبنة ابو سمبل أيضا
  رحلتي إلى مكة المكرمة  ذهبت مع زملائي إلى مكة المكرمة لأداء العمرة السنة الماضية  كنت سعيدا ومسرورا جدا لأنني أديت العمرة لأول مرة  الآن أريد أن أخبركم عن رحلتي إلى مكة المكرمة  كيف وصلت إلى مكة المكرمة   كانت هذه رحلة من جانب إدارة المنح  جلست في السيارة فوصلت إلى قرن المنازل  لبست ثياب الإحرام ثم بعد ذلك وصلت إلى مكة المكرمة وقد حان وقت صلاة الفجر  صليت صلاة الفجر  ثم ذهبت إلى الفندق وجهزت الغرفة ووضعت الحقيبة  خرجت بعدها إلى المسجد الحرام وطفت سبعة أشواط  وصليت ركعتين خلف مقام إبراهيم  وشربت من ماء زمزم  ثم ذهبت إلى محل الحلاقة فحلقت شعر رأسي  هكذا أديت العمرة  ثم ذهبت إلى غرفتي التي جهزتها وبقيت هناك ثلاثة أيام فيها  أكلت الطعام وصليت الخمس صلوات مع الجماعة في المسجد الحرام وزرت بعض الأماكن  رجعت إلى الرياض إلى جامعة الملك سعود ,  رحلتي إلى مكة المكرمة  ذهبت مع زملائي على مكة المكرمة لأداء العمرة السنة الماضية  كنت سعيدا ومسرورا جدا لأنه أديت العمرة أول مرة    الآن اريد أن أخبركم عن رحلتي إلى مكة المكرمة كيف وصلت إلى مكة المكرمة   كانت هذه رحلة من جانب إدارة المنح  جلست على السيارة فوصلت إلى قرن المنازل  لبست ثياب الإجحرام ثم بعد ذلك وصلت إلى مكة المكرمة قد حان وقت صلاة الفجر  صليت صلاة الفجر  فذهب إلى الفندق وجهزت الغرفة ثم وضعت الحقيبة  فخرجت إلى مسجد الحرام طفت سبعة أشواط  وصليت ركعتين خلف مقام إبراهيم  فشربت من ماء زمزم  ثم ذهبت إلى محل الحلاقة فحلقت شعر رأسي  أديت العمرة هكذا    ثم ذهبت إلى غرفتي الذي جهزته وبقيت هناك ثلاثة أيام فيه أكلت الطعام وصليت خمس صلاة مع الجماعة في مسجد الحرام وزرت بعض الأماكن  فرجعت إلى الرياض جامعة الملك سعود 
 تخصصي في الجامعة  بسم الله الرحمن الرحيم  إن الحمد لله نحمده ونشكره ونستعينه والصلاة والسلام على سيدنا محمد وعلى أهله وأصحابه أجمعين وبعد  أريد أن أتخصص في الدراسة الإسلامية للأسباب الآتية   أزيل الجهل عن نفسي وغيري   لأن بلدي يحتاج إليها   لأني أعبد الله بها وأدرسها لأبناء المسلمين  وهناك أشخاص قد أستفيد من خبرتهم في هذا المجال  نعم لمست بعض التشجيعات من بعض الإخوة , تخصص في الجامعة بسم الله الرحمن الرحيم إن الحمد لله نحمده ونشكره ونستعينه والصلاة والسلام على سيدنا محمد وعلى أهله وأصحابه أجمعين وبعد أريد أن أتخصص في الدراسة الإسلامية في أسباب آتية   أزيل الجهل على نفسي وللغير   لأن بلدى يحتاج إليها   لأني أعبد الله بها وأدرسها أبناء المسلمين  وهناك أصخاص قد أستفيد من خبرتهم في هذا المجال نعم لمست بعض تشجيعات من بعض إخوة
 كلية التربية  في المستقبل سأعمل معلما في المدرسة  في هذا التخصص أستطيع الدعوة لدين الإسلام في بلدي  لأن بلدي ليست دولة إسلامية وأريد لبلدي أن تعرف الدين الإسلامي صحيحا  هدفي هو  أريد أن أكون معلما كي أستطيع تربية أخلاق الناس وإعطاءهم علما عن الدين  فهم لا يعرفون هذا الطريق  أفكر أن أختار هذا التخصص لأهمية التغير بهذه البيئة  أو المشاركة في إخراج قريتي من الظلمات إلى النور  يعني يوجد هنا معاصي وأريد أن أغير الشر إلى خير إن شاء الله  وهنا يوجد بعض زملائي في مثل هذا التخصص  وفي المستقبل أريد أن يجتمع كل طلاب التخصص ثم المشاورة والتعاون لعمل واحد  أي عن طريق المشاركة في بلدي واستبدال الشر بالخير  وأريد أن أعلم الدين الإسلامي للإخوان في قريتي أيضا  وبهذا التخصص أستطيع أن أساعد شخصا بحول الله  من شخص لا يعرف الإسلام إلى شخص يعرف الإسلام  هذا هدفنا للدعوة في بلدي  وأخيرا نريد لبلدي معرفة الدين الحق مثل معرفة تاريخ الإسلام والتغيير  وفهم العقيدة الصحيحة  ومعنى القرآن  والفقه وغيرهم  إن شاء الله , كلية التربية وفي مستقبل سأعمل معلم في المدرسة ل  ها هذه تخصص يستطيع لدعوة الدين الإسلام في بلدي  وكان بلدي ليس دول الإسلام وساريد عن بلدي نعرف أي الدين الإسلام صحيحا  هدف أريد معلم لأن تستطيع عن تربية أخلاق شخصا ونطي عن علما دينا لهم لا يعرفون هذا الطريق    أفكر اختار هذا الاتخصص ل  مهم لتغير ههذ بيئة أو مشاركة في قريتي لظلمات على النور يعني في يوجد هذا معاصي واريد غير من شر على خير إن شاء الله    وهنا يوجد زملائي مثل هذا تخصص وفي مستقبل أريد أن يجمع طلاب كل تخصص ثم مشاورة وتعاون لعمل واحد أي طريق تبادل مشاركة في بلدي من شر إلى خير ونريد يعلم الدين الإسلام للإخوان في قريتي أيضا  وهذا تخصص تستطيع أن يساعد شخص بحول من لا يعرف الإسلام على يعرف الإسلام هذا هدف لنا لدعوة في بلدي    وأخيرا نريد في بلدي نعرف أي الدين الحق مثل نعرف تاريخ إسلام وتغيير ونفهم عقيدة صحيحة  معنى القرآن  فقه وغيرهم  إن شاء الله 
 أختار أن أكون داعية لله  سافرت وأتيت هنا لأجل الدراسة والعلم  وهذا العلم الذي أقصده هو العلم الديني  لأنني أريد أن أكون مثالية في بلدي خاصة للمسلمات اللاتي لا يعرفن الإسلام جيدا  ولا يطبقن الإسلام  أنا أدعو الله أن أكون مثل ذلك  كي أستطيع أن أكون داعية لله لهذا الدين الصحيح  لأني أعلم بأني إذا أردت أن أدعو وأنا مثلهن  أي لا أطبق الدين وليس لدي معلومات كثيرة كافية عن الدين  فكيف أستطيع الدعوة إلى الله  إذا لابد أن أتعلم  لذا اخترت تخصص الدراسات الإسلامية , أختار أن أكون داعية لله سافرت وأتيت هنا لأجل الدراسة والعلم  وهذا العلم الذي أقصده هو العلم الدينية  لأنني أريد أن أكون مثالية في بلدي خاصة للمسلمات الاتي لا يعرفن الإسلام جيدا  ولا يطبقن الإسلام  إني أدعو إلى الله أن أكون مثل ذلك  كي أستطيع أن أكون داعية لله لهذا الدين الصحيح  لأني أعلم بأن إذا أردت أن أدعو وأنا مثلهن  أي لا أطبق الدين وليس لدي معلومات كثيرة كافية عن الدين  فكيف أستطيع الدعوة إلى الله  إذا لابد أن أتعلم  لذا أخترت التخصص الدراسات الإسلامية 
 رحلة من باكستان إلى المملكة  مرة من المرات كنت مسافرة من باكستان إلى المملكة  سافرت من مدينة فيصل آباد إلى كراتشي ومن كراتشي إلى الرياض بالطائرة مع أهلي  في كراتشي مكثنا أربع ساعات ونمنا في فندق المطار  وتأخرنا  وجاء مضيف الفندق يخبرنا أننا تأخرنا  نحن أخذنا أغراضنا بسرعة وذهبنا إلى مطار كراتشي  سمعنا النداء من مذيع المطار  نحن ركبنا الطائرة وجلسنا على مقاعدنا  بعد فترة يسيرة جاء الموظف وقال  أين هؤلاء الذين أسماؤهم ياسرا  يسرى  ومصاب  مصعب  وبقيتهم  وخفنا لماذا هذا الرجل يدعونا  وهو قال  خذوا أغراضكم واخرجوا من الطائرة  سألناه أي مشكلة  هو قال  اصبروا  وبدأنا الدعاء إلى الله من الخوف  وظننا أن هناك شيئا وجده في أغراضنا  بعد فترة يسيرة أخبرنا أن الطائرة التي ركبتم بها لأبو ظبي  وبعدها ركبنا في طائرة أخرى للمملكة  وبقية الرحلة كانت ممتعة , رحلات من باكستان إلى مملكة مرة من مرات كنت مسافرة من باكستان إلى مملكة سافرت من مدينة فيصل آباد إلى كراتشي ومن كراتشي إلى الرياض من الطائرة مع أهلي  في كراتشي مكثنا أربع ساعات ونمنا في فندوق المطار  وتأخرنا  وجاء مضيف الفندق ويخبرنا تأخرتم  نحن أخذنا أغراض بسريعة وذهبنا إلى مطار الكراتشي  سمعنا النداء من مذيع المطار  نحن ركبنا الطائرة وجلسنا على مقاعدنا  لعد فطرة اليسيرة جاء الموظف وقال أين هؤلاء الذين أسمائهم ياسرا  يسرى  ومصاب  مصعب  وبقيتهم  وخفنا لماذا هذا الرجل يدعو لنا  وهو قال  خذوا اغراضكم وأخرجوا من الطائرة سألناه أي مشكلة  هو قال اصبروا  وبدأنا دعاء إلى الله من الخوف وظننا هناك الشيء الذي طلع من أغراضنا بعد فترة اليسيرة هو يخبرنا أن الطائرة التي ركبتم للأبو ظبي  وبعدها ركبنا في طائرة الأخرى للمملكة  وبقية الرحلة كانت ممتعة 
