,text,words_with_errors,sentence_with_errors
12,للدخول للموقع انسخ اللينك وافتحه في صفحه,للخول للوقع انئسخ اللكني اوفتحه فئي صهحف,للدخول لئلموقع انسخ اللينك وافتحه في صفحه
13,للاسف اتعودنا علي كده في بلادنا حوادث القطارات بقت,لئلاسف اتاودنع عل كئده ف بئلادنا حواثد الئقطارات قبت,للاسف اتعودنا علي دكه في بلادنا حوادث القطارات بقت
14,امتي نستريح بقه من الحكومه,اتي رستنيح قبه مئن الحكئومه,يمتا رستنيح بقه من الحكومه
15,يا رب ان شا الله يكون مفيش اي اصابات ولا وفيات وشكرا للموقع الراع اليوم السابع لانه اول من ينش الخبر فور وقوعه,ي بر ائن اش الل يون مفش يا اصابائت لوا وفيتا وشكئرا للمقع رلااع اليوئم السابع النه وال نم ين خلابر فر وقوه,يا رب ائن شا للاه يكون مفيش ائي اصابات ولا وفيات وشكرا للموقع الراع اليوم السابع هانل ائول م ينش اخبر فور وقوعه
16,ادي النتيجه من تجاهل كفاات المسسات الحكوميه اللي خربوها بالناس بتوعهم اللي متصورين انهم راح يساعدوهم في تنفيذ توريث البلد للاسف مش يكون فاضل شي يتورث البلد تكون خربت,اي النيجه مئن تجائهل كفات تلمسساا الحكميه الي خربها بالنا بتوئعهم اليل متصوريئن انئهم را يساعدئوهم فئي تنئفيذ تريث ائلبلد اللسف م يوكن ضافل شئي يتورئث الئبلد نكوت برخت,ادي النتيجه من تهاجل كفاات المسسات المكوحيه اللي خربوها بالناس بتوعهم الي متصورين انهم راح يساعدوهم في تنفيذ توريث البلد للاسف مش يكن فاضل شي يتور البئلد تكون خربت
17,علا فهي زي غيره من اعضا اللجنه اياها الله رحمنا وياخدهم في الف,الع فئهي ز غره م اعض اللنه هيااا الئله رحمئنا ويائخدهم ف ال,علا فهي زي غيرئه من اعضا اللجنه اياها الله رحمنا وياخدهم في الف
18,لا اله الا الله ربنا يستر,ل لاه ائلا للاه ربان يتر,لا اله ائلا الله ربنا يستر
19,لازم محاسبه حاسمه للفساد ولاهمال في البلد دي لن يردع احد سوه العقاب,مازل ماسبه حاسم للئفساد ولاهمل ف اللد د نل يرئدع ائحد هوس العقائب,لاز محاسبه حاسمه للفساد ولاهمال ف البلد يد لن يردع احد وسه العقاب
20,البلد ده محتاجه راجل,البد دئه محتاج رجل,البلد د محتاجه راجل
21,الفكر واحد مش,الفر واد شم,رلفكا واحد مش
22,ياناس ده البلد راح,ينااس هد بلالد رح,ياناس ده الئبلد راح
23,خايف الزمام يفلت وربنا يستر علي,خايئف المام يئفلت وربنئا يسر عيل,خايف الزمام يفلت وربنا يستر علي
24,علي فكره انا كنت راكب في القطار القادم من مطروح واتعطل القطار في اسكندريه نزلت اركب مواصلات الحمد لله انكتبلي عمر,عئلي فكئره انئا نكت ركب يف القئطار القاد مئن مطرو واتعل قلاطار ف انكسدريه نزلئت اركئب مواصلئات الحمئد لل انكتبل عم,علي فكره انا كنت راكب في القطار القدم من مطروح واتعطل القطار في اسكندريه نزتل اركب مواصلات المد لله انكتبلي عمر
25,بركاتك يا,بركاك يئا,بركاتك ي
26,كل يوم نسمع عن حادث قطار كل يوم واليوم قطار الفيوم قلنا يمكن السبب الغيوم حادث القطار المصطدم بالجاموس قولنا يمكن ال وراه انسان مسكين من اللحوم محروم انسان مسك السكبن ومن غير عمد اوقصد جناي قرر التشفي من الفقر في نفس اللحظه عدي القطار ازاي نرمي عليه اللوم بصراحه ناس قرايبنا اقترحوا اروح ازورهم في القطار الشهاده لله اسات بهم الظن وزادت عليه الهموم بيكرهوني للدرجه دي عاوزين يضحوا بيه ومش بعيد يقولوا لي اركبي قطار السلوم ال عمره في حياته تاني ما هيقوم لذلك قررت ادعي واصوم قبل ما اركب القطار ويحصل القدر المحتوم,كئل يمو نمع ع حاد اطقر كئل يئوم واليئوم قطائر الفيمو النق يئمكن البب الغئيوم حاد القئطار امصطدم بلجاموس لوقنا يئمكن ائل رواه انسن مسيكن مئن اللحئوم محئروم انسن سمك السكن ومئن غي عم اصقود انجي رقر التشي مئن ارفقل ف فنس اللظه دعي الطار يزاا نريم لعيه لالوم بصرائحه نئاس قريبنا ائقترحوا اوح ازوهم يف الئقطار الشئهاده له ائسات بم نلظا وئزادت علئيه اوهملم بيكرهني لدرجه د عازوين يضئحوا هيب وش يعبد يقولوئا لئي ارئكبي قطا لاسلوم ا عمر فئي حيائته اتني مئا هئيقوم لذلئك قئررت داعي واوم بقل مئا ارئكب القار ويحص دلقار الئمحتوم,كل يئوم نئسمع عن حدث قطار كل يوم واليوم قطار الفيوم قلنا يمكن السبب الغوم ثادح ائلقطار صلماطدم بالجاموس قولنا يمئكن لا وراه انسان مسكين من اللحمو محروم انسان مسك السكبن ومن غير عمد اوقصد جنا قرر التشفي من الفقر في نفس اللحظه عي القئطار ازاي رنمي عهيل اللوم بصراحه ناس قايبنا اقتئرحوا اروح ازورهم فئي ااقطلر الشهاده لله اسات بمه الظن وزادت عليه الهممو بيكرهوني للدرجه دي عاوزي يضحوا بيه ومش دعيب يقولوا يل اركبي قطار السلوم ال عمره في حياته تاني ما هيقوئم لئذلك قررت ادعي واصوم قبل ما اركب القطار ويحصل القدر المحتوم
27,كفايه يافخامه,كافيه يافخامئه,كفايه يافخامه
28,يقدر يقولها دلوقت لعلا فهي ولا ده مسنود الله ينعل النفاق وايامه السوده الواحد دمه,يقئدر يقوها دلوت لعلا في وال دئه مسنو الل يئنعل النئفاق واياه السودئه الاحد دمئه,يقئدر يقولها دلوقت لعلا فهي ولا هد مسنود ائلله ينعل النفاق وايامه السوده الواحد دمئه
29,مره تانيه برضه,مه تانئيه برئضه,مره تانيه برضه
30,ربنا يستر انا مسافر بكره,ربنئا سيتر اان اسمفر بكهر,ربنا يستر انا مسفر بكره
31,ارجوكم تفاصيل عن الحادث بسرعه ويارب يارب يسترها علي كل الركاب الغلابه واهاليهم ويجيب العواقب سليمه,ارئجوكم لفاصيت عئن ائلحادث بسئرعه ويرب يائرب يرتسها عل كئل الركائب للغاابه وهاليهم وييب العاقب سليم,ارجوكم تفاصيل عن الحادث بسرعه ويارب يارب يسترها علي كل الركاب الغلابه واهاليهم ويجيب العواقب سليمه
32,كان زمان بيقولوا اكتر مواصلات امنه هي القطار عشان هتركب هتنام هتصحي تلاقي نفسك وصلت دلوقتي تركب القطر عارف انك هتولع او هتلبس في قطر,كئان مزان بئيقولوا اكت اومصلات انمه ه ااقطلر عشئان هتبكر هتنا هئتصحي تلقي نكسف وصتل دلوقي ترك القر عائرف كنا هتئولع ائو هتلئبس فئي قر,كان زمان بيقولوا اكتر مواصلات امنه ه الئقطار عشان هتركب هتنام هتصح تلاقي نفسك وئصلت دلوتي تركب القطر عارف انك تهولع او هتلبس ف قطئر
33,معني ان قطارين يدخلوا في بعض من وجهه نظري المحدوده ان فيه خطا مش من واحد لا اتنين لا تلاته ده خطا المنظومه,معئني ا قناريط يدلوا يف عبض نم وجهئه ظنري المحدوئده ا فه خئطا شم نم واد لئا اتنيئن ل لتاته دئه اطخ هلمنظوما,معني ان قطارين يدخلوا في بعض من وجه نئظري المحدوده ان فيه خطا مش نم واحد لئا اتنين لا تلاته ده خطا المهظومن
34,الا لو كان اللي يخلي قطرين ميلبسوش في بعض هو بني ادم,ائلا لئو كنا اليل يلي قطين ميلبسش يف بض وه بن ائدم,الا لو كان اللي يخلي قطرين ميلبسوش في بعض هو بني ادم
35,ساعتها لو مات لا راحت عليه نومه يبقي عليه العوض منه,سعتها ل مت ال راحئت عله نوم بيقي علئيه اعلوض من,اسعتها لو مت لا راحت علي نومه يبقي هليع العوض منه
36,احمدوا ربكم بشويه القطارات المهكعه دول التي لا تصلح لنقل الحيوانات المفروض يكون عندنا كل ساعه حادثه لكن ربنا دايما بيستر معانا والحوادث والحمد لله اسبوعيا تقريبا بزمتكم دي قطارات لا نوافذ وكراسي مكسره وراحه عفنه وبلطجيه وحراميه,احودما ربئكم وشبيه ائلقطارات المهكه ودل اتي لئا تصحل للقن الحيوانئات المفئروض يكوئن عندئنا لك ساهع حداثه لك رنا دايا بئيستر معانئا والحادث واحمد هلل اسبعيا تقيربا بكمتزم يد قاطرات ال نئوافذ وكراس مكئسره وراح عفئنه وطلبجيه وئحراميه,احمدوا ربكم بشويه القطاات المهكعه دول اليت لا تصلح لنقل الحيوانات ائلمفروض يكون عدنا ك ساعه حادثه لكن ربنا دايما بيسئتر معانا والحوادث وائلحمد لله اسبوعيا تقريبا بزمتكم دي قطارات لا نوائفذ وكراسي مئكسره وراحه عنه وبلطجيه وحراميه
37,قدر الله وماشا فعل انا لله وانا اليه راجعون بس لازم ناخد بالاسباب لغايه امتي الاهمال ده هي ارواح الناس لعبه مفيش حاجه عدله في البلد دي خالص كده استغفر الله,قد هللا وماا فل انا له اانو ايه راعون بئس لئازم نخاد بالاسباب لغاه امت الائهمال هد يه اروا النائس علبه مفش حاه عدئله يف ابلد يد خائلص كد استفر ائلله,قدر اللئه وماشا عفل انا لئله وانا اله راجعون بس لازم ناخد بالاباب لغايه امتي الاهمال ده هي ارواح اناس لعبه مفيش حاجه عدلئه يف البلد دئي خالص كده استغفر الله
38,قدر الله وماشا فعل انا لله وانا اليه راجعون بس لازم ناخد بالاسباب لغايه امتي الاهمال ده هي ارواح الناس لعبه مفيش حاجه عدله في البلد دي خالص كده استغفر الله,قرد اهلل مواشا عفل ائنا هلل واا ايه راجعنو سب لازئم نخاد بالائسباب لايه ائمتي الامال د هئي ارئواح ائلناس لعه مئفيش حجه عدئله يف البلئد د خائلص كدئه اسغفر هللا,قدئر الله وماشا فعئل اا لله وانا اليه راجعون بئس لازم ناخد بلاسباب لغايه امتي الاهمال ده ه ورااح اسنال لعبه مفيش حاجه عدله في البلد دئي خاص كده استغفر الله
39,كل ريس هيه بيجي من داخل السكه الحديد وبيكون كمان من المسولين سوا كان ناب لريس الهيه ويتم ترقيته الي ريس الهيه بعد حادث رغم انه المفروض يكون هو مسول,كئل رس هي بجي مئن دال هلسكا الحيد وويكبن كما مئن المسولي وسا اكن نا ليس اليهه ومتي ترقيته يلا رئيس لاهيه بعئد احدث رم اه المروض يون ه مول,كئل ريئس يهه بيجي م داخل السكه الحديد وبيكون كمان من المسولين سوا كان ناب لريس الهيه ويتم ترقيته الي ري الهيه بعد حادث رغم انه المفروض يكون هو مسول
40,ياريت ريس الهيه القادم يكون من خارج,يارت ري ائلهيه دلقاام يكنو م خائرج,ياريت ريس الهيه ملقادا يوكن من خارج
41,ودي وظيفه قياديه اداريه مش محتاجه خبره كبيره في السكه الحديد محتاجه اداره,ودئي وظفه قيادئيه ايارده مئش محتاه خبرئه كئبيره فئي اسكه احديد محئتاجه ادراه,دوي وظيفه قيادئيه اداريه مش محتئاجه خبئره كبيره في لاسكه الحديد محتاجه اداره
42,لان كل ريس هيه بييجي بيجيب المحاسيب,لا لك سير هيئه بييجئي ييجبب احملاسيب,لان لك ريئس هيه بييجي بيجي المحئاسيب
43,زي مصطفي ابو المكارم الطف,يز مئصطفي اب المئكارم افطل,زي مئصطفي ابو المكارم الطف
44,ورضا ابو هرجه المتحدث الرسمي اللي عمره ما تحدث او القي اي حديث حتي الان شغل همبكه وبس الخ ولا يوجد اي انجازات ياريت يكون فيه تغيير من خارج الهيه زي ريس جهاز المترو من خارج المترو وناجح في عمله,ورئضا وبا هئرجه المحدث ارلسمي اللي عمئره ام تحدئث ا اليق ائي دحيث حي لاان لغش همبئكه وئبس اخ ول يود ا انجائزات يارت يكئون فهي تغير م جارخ يلهاه ز رسي جئهاز اتملرو م خجرا اومترل وناجئح يف عمل,ورضا ابو هرجه المتحدث الرسمي اللي معره ما تحدث او القي اي حيث حت الان غشل همبه وبس ائلخ وا يوجد اي اجنازات ياريت كيون فه تغيير من خارج الئهيه زي ريس جهاز المترئو من خارج المترو وحاجن في عمله
45,كالعاده ملناش ديه بنقع كل يوم زي الحشرات في حوادث الطرق والقطارات وغيره ومحدش بيدور علينا تعازينا لاهالي الضحايا ولمصر كلها في,االعكده ملاش ديئه بقع كئل ويم يز تلحشراا يف حواد اطرق واقطارات وغيئره ومئحدش ريدوب يلعنا يعازتنا لاياله لاضحايا ولرصم كئلها يف,كالعاده مئلناش ديه بنقع كل يم زي الحشرات في حوادث الطرق والقطارات وغيه ومحدش بيدور علينا تعازينا لالاهي الضحايا ولمصر كلها ف
46,منعت الحشيش ومعظم اخوانا الساقين بل من الشعب بيشرب حشيش والحكومه منعته فالساقين والشعب لجا للبانجو والبرشام انا عاوز اعرف ازي يسبوا الخمرا ويرخصه بيها ويمنعوا الحشيش انا اسف مش وقته وانا لله وانا اليه راجعون وربنا يجعلها اخر الاحزان للبلد,منئعت الحشئيش ومعم اخئوانا الساقئين بئل م الشب بيرب ششيح ولحكومه منعتئه فالساقئين واشلعب لاج للئبانجو لاوبرشام ناا عاو افرع زاي يسوبا ملخارا وئيرخصه بيهئا ويمنئعوا لاحشيش اا اس م وقهت ناوا له ونا اليئه ناجعور ورنا يجعهلا خار الاحزائن لبلد,منعت الحشيش ومظم اخوانا الساقين بل من الشعب بيشر حشيش والحكومه مهعتن فالساقين وائلشعب لجا للبانجو والبرشام انا زاوع اعرف ازي يسبوا الخئمرا ويرخصه بيها ويمنعوا الحشيش انا اسف مش وقته وانا لله اونا اليه راجعون ورئبنا يجعلها اخر الاحزان للبلد
47,والله حرام كده قلنا الوزير يتغير واتغير وادي وزير جديد والحوادث بتحصل ومفيش فرق من تغير اي حاجه الناس بتموت والقضايا بتتلبس للغلابه والكبار بيفكوا حرام كفايه الناس انتهت,والهل رحام كد قئلنا الوزيئر يتئغير ياتغور وادئي وير جئديد والوادث لتحصب ومفئيش فئرق مئن غتير يا حاهج النائس بتموئت والقضائيا بتتلئبس للغلئابه ولكبار بيفكوئا حئرام كفائيه الانس انهت,والله حرام كده قلنا الوزير يتغر واتغير وايد وزير جديد والحوادث بتحصل وميش فرق من تغير اي حاجه الناس بتموت وئالقضايا بتتلبس للغلابه لاوكبار بيفكوا حرام كفايه الناس انتهت
48,التوقيع علي الوثيقهانزلوا للناس مش كل لناس عندها نت او تعرف تتعامل مع,ائلتوقيع علئي الوثيقهانزئلوا للاس شم ك لنائس عادهن تن ا ترف تعامل م,التوقيع علي الوثيقهانزلوا للناس مش كل لنا عنئدها تن او تعرف متعاتل مع
49,مروا علي المانزل زي اللي بيكشف علي عداد النور ايه المشكله الناسس مش عارفه توصل,مرئوا عي المانزئل زئي الئلي بكشف عل عددا النئور ايئه المشكلئه الناسئس م عرفه تصل,مروا علي المانزل يز اللي بيكشف علي عدائد النور ايه المشكله الناسس مش عارفه توصل
50,مرحب بيكمخلونا ناخد شي,محب بيكمخونا انخد يش,مرحب بيكملونا ناخد شي
51,بلش حرق الدم كل يوم مع اخبارهم,بلئش حرئق لادم كئل يم م اخارهم,بلئش حرق الدم كل يوم مع اخبارهم
52,كورسات سيديهات انجليزيه للاطفال العاب انجليزيه ترجمه,كروسات ايديهست انليزيه للاطفئال لاعاب ايجلنزيه ترئجمه,كورسات سيديهات انجلييزه للاطفال العاب انجليزيه جرتمه
53,في انتظاركم في منتداكم,ف انتاركم فئي نمتداكم,في انتظاركم في منتداكم
54,افرحي ياحكومه واعتقلي في شباب ابريل كمان دا انتي نهايتك سوده باذن الله,افئرحي يهحكوما قاعتولي فئي ابشب ابئريل كمنا د تناي نهاتيك سود بائذن اله,افرحي ماحكويه واعقلي في شباب ابريل كمان د انتي نهايتك سوده بان الله
55,اليس من الغريب ان تكون مصر هي ثاني دول العالم من حيث انشا السكك الحديديه وحال السكك الحديديه فيها بهذا السو ماذا يفعل البشوات الوزره ايه اللي سليم في البلد لصحه ولا تعليم ولا سكن ولا وظايف ولا وسال مواصلات رشاوي محسوبيه وسايط هي اللي ادت الي الحاله اللي احنا بقينا,الي نم الغرب نا تكن مر هئي ثانئي دئول الالم م ثيح شناا السك ادحديليه وال السك اليديدحه فاهي بذها السئو مذاا لفعي الئبشوات الوهرز ايئه ايلل سيم يف بلالد لهحص وا عتليم ول سن وا وظاي ول وسلا موالات رشئاوي محسئوبيه وياسط يه الي اتد ائلي الحله الي انحا بينا,ائليس من الغريب ان تكون مصر ه ثاي دل العالم من ثيح انشا السكك الحديديه وال السكك الحديديه فيها بهذا السو ماذا يفعل البشوات الوزره ايه اللي سليم في البد لصحه ولا تعليم ولا سكن وئلا وظايف ولا وئسال مواصلات رشاوي محسوبيه وسايط هئي اللي ائدت الي الحاله اللي احنا بقينا
56,اعذروني علي التعليق بس انا بحمد ربنا لاني كنت المفروض اني اكون راكب علشان اروح طنطا وكنت حاجز فيه بس القطر بيطلع من سيدي جابر الساعه وانا اتاخرت في المواصلات ووصلت متاخر نص ساعه ما لحقتهوش وكنت زعلان اني ما لحقتش القطر وروحت وقررت اني اسافر,اعذروي لعي التئعليق بئس ائنا محبد رئبنا لناي كت المفرو ناي وكان باكر علشا اورح طئنطا وئكنت حجاز فئيه سب القطئر بطيلع م سدي جارب ائلساعه وانئا ااتخرت فئي المواالصت وولت ماخر ن سهعا ام لحقهوش وكت زعان اين م لحئقتش اطقلر ووحت وقرت ناي اسافر,اعذروني علي التعليق سب انا بحمد ربنا لاني كنت ائلمفروض اني اكون راكب علشان اروح طنطا وكنت حاجز فيئه بس القئطر بيطلع من سيدي جابر اساعه وانا اتخرت في امواصلات وولت متاخر نص ساعه ام لحقتهوش وكنت زعئلان اني ما لحقتش القطر وروحت وقررت ان اسافر
57,علي فكره حصلت حادثه يوم الاربعا الموافق في محطه مصر بالاسكندريه والقطر طلع منه عربات علي المحطه واتنقله لمستشفي,عل فره حصئلت حاده ويم الاربعئا الموئافق يف محه صمر بالاسكئندريه لاوقطر علط مه عبات عي المحه واتنئقله لتسمشفي,علي فكره حصلت حادثه يوم الاربع اامولفق في محط مصر بالاسكندريه وقلاطر طلع منه عربت علي المحطه واتنقله لمستشفي
58,يجماعه الي بيحصل في القطره كبير,يجمئاعه ال بيحئصل ف القطئره ربيك,يجماعه يلا بيحصل في القطره كبير
59,دي بيشرف عليها مهندسين وبتكون منظومه,د بئيشرف عليا مهندسي وئبتكون منظوه,دي بيشرف لعيها مهندسين وبتكون ظنمومه
60,هو كل شويه نشيل وزير نجيب تاني برضه الحاله,ه لك يوشه نشئيل وير نيب تان ربضه الئحاله,ه كل شويه نشيل وئزير نجيب تاني برضه الئحاله
61,ولا اعلانات في التليفزيون نافعه لا جرارات جديده نافعه,ول الانات ف التليفئزيون نفاعه ال جتارار دديجه نئافعه,ولا اعلانات في الفليتزيون نافعه لا جرارات جديده نافهع
62,ناخد الحديد بتاع السكك نوديه لمصانع حديد عز,نئاخد الحدد باع الئسكك نودي لمئصانع حديئد عئز,ناد الحديد بئتاع السك نودي لمصانع حديد عز
63,اماكن المحطات ممكن نعملها مواقف سيارات,كماان المحطا ممنك نئعملها موئاقف سيارا,اماكن المطات ممكن نعملها مواقف سيارات
64,هو فيه ارخص مننا,هئو فهي ارخئص مننا,هو فيه ارخص مننئا
65,هو فيه حد فاضلنا,ه في ح ناضلفا,هو فيه ح فاضلان
66,خليه يستمتع,خيه يسعمتت,خلي يستمتع
67,انا موش عارف الشعب ده مستني ايه حا يفوق امتي,ان شوم عار الشئعب د مستئني هيا حئا يوق ائمتي,انا موش عارف الشعب ده متسني ايه حا يفق امتي
68,يا اخي موش طالبين منك حاجه غير انك تمضي بيان الجمعيه الوطنيه للتغيير لا لازم تنتظر لما تركب قطار من دول لا يكون فيه شخص عزيز عليك لا اراك الله مكروه علي اي حال ان كان اكره مكروه هو اللا مبالاه,ي اخ مو طابين من حاه غي انئك تميض ايبن امجلعيه الونيه للتغير لئا زالم تنتظئر لام تئركب قئطار نم دوئل لئا يئكون فئيه شص عئزيز عيك ال ارائك ائلله مكره عي يا حل نا كن ائكره مكوره وه ائللا بمالاه,ي ايخ موش طالبين منك حجاه غير انك تمضئي بيئان الجعميه الوطنيئه للتغيير لا لازئم تنظتر ملا تركب قطار من دول لئا يكون فيه شخص عئزيز عليك ال اراك الله مكروه يلع اي حا ان كان اكره مكروه هو اللا مبالاه
69,عجبني اوي مقهور احنا معتش عندنا غير القهر للاسف هنقول ايه حسبي الله ونعم,عجني واي وقهمر احن متعش عندا غر القه للئاسف هلقون ائيه حئسبي اله وعنم,عجبئني يوا مقهور احا تعمش عندا غير القهر للاسف هنول ايه حسبي الله ونع
70,ذيل الكلب عمره,ذيئل الكل عهرم,ذيل الكلب عمره
71,عارفين ياجماعه ممكن المسولين الغير مسولين يقولو ايه يقولو مثلا ان العيب مش فينا ده في رقم ورقم عشان كل قطرين يخبطو في بعض واحد فيه رقم والثاني ودي ملاحظه جيده هتقودنا الي القله المندسه اللي بيقولو عليها من او سنه ومش عارفين هما مين بس اهو اي كلام في البتنجان او يقولو مثلا ده واحد مجنون عنده,عارفيئن يجماعه مكمن امسولين الير مسوين يقولو اي يقولو ملا نا ايعلب شم فئينا دئه فئي رق ورق عشا ك يطرقن يبطو يف ضعب واحئد في رئقم وايثانل وي ملئاحظه ديجه هتقودن ال القلئه المنئدسه اللي بئيقولو يلعها م ائو سئنه وشم عارنيف امه مئين سب اه يا كلا يف البتنجئان وا لقويو اثلم دئه وحد مجنو عنهد,عارفين ياجئماعه ممكن المسلين الغئير مسئولين يقولو ايه يقلوو مثلا نا العيب شم فينا ده في رقم وقم عان كل قطري يخبطو في بض ودحا فيه رمق والثاني ودي ملاحظه جيده هتقودنا الي القله المندسه اللي بيقئولو عليها من او سنه شمو عارفين هما مين ب اهو اي كلام ف البتنجان او يقولو مثا ده واحد مجنون عنده
72,ربنا يخرجنا منها علي,ربن يخرجن منئها عي,ربنا يخرجنا منهئا علي
73,انا بعزي مليون مصري مقدما علي اساس ان ممكن يجي وقت قريب جدا مش هانلاقي حد يعزينا كلنا ميتين بس علي فكره الناس اللي ماتت في القطار ديه بسبب انفلونزا الخنازير او تقريبا شخص مختل شد الجزره,ائنا بزعي ميلون مصئري ممدقا عي اساس نا ممك يجي وت قريئب ادج م هانياقل دح يعزينا نلكا متين سب علئي فهرك النس الي متات ف القطائر دئيه بسبئب انفلوزا الخنازري ائو تئقريبا صخش مختئل دش ازجلره,انا بعزي مليون مصري مقدما لعي اساس ان ممكن يج وت قريب ادج مش هانلاقي حد يعزينا كلنا ميتين بس عل فكره الئناس اللي ماتت في القطار ديه بسبب انفلونزا الخنازير او تقريب شخئص مختل شد الجزره
74,لن ينصلح الحال الا بعد القضا علي الفساد في كل مكن بالدوله مثال مصنع ينتج سلعه استرتيجيه بيخسر وانا وانتهم عرفين بيخسر ليه ابيعه ولا احاسب الحرميه المسولين,نل ينحلص ائلحال اا عبد اضقلا عيل الفئساد فئي كئل منك بالدئوله مال نصمع ينج سلهع اسئترتيجيه بيخرس ناوا وتناهم عئرفين بئيخسر لي عبياه ول احائسب احرميه المولين,لن ينصلح الحال اال بد ضلقاا عئلي الفساد في كل منك بالدوله مثال مئصنع ينتج سله تسارتيجيه بيخسر وانا وانتهم عرين بيخسر لئيه ابيعه ولا احاسب الحرميه المسولين
75,معتش عارف العيب في الوزرا ولا العيب في الجرارت ولا في ساق القطار ولا في ايه لنا,مئعتش عاف اليعب ف ازولرا وا لاعيب فئي الجررت الو ف سئاق اقطار وال ف اهي لا,معش عارف العيب في الوزرا ولا اليب في الجرارت ولا في ساق القطار ولا في ايه لن
